purchase_id,date,total_price,store_id,account_number,online
128,10/11/2017,963,339,315-81-1996,true
129,5/15/2018,809,618,628-14-0200,false
130,4/26/2018,152,671,600-32-6591,true
131,11/24/2017,36,175,832-41-4582,true
132,6/23/2018,727,634,775-31-2321,false
133,8/30/2017,241,247,575-55-6235,true
134,6/9/2018,931,610,728-03-1994,false
135,5/13/2018,698,797,309-64-5997,true
136,5/19/2018,556,262,704-25-5213,true
137,4/22/2018,686,281,614-21-5990,false
138,12/1/2017,722,311,690-05-0545,false
139,3/20/2018,653,98,148-98-0415,true
140,3/25/2018,941,407,639-83-3796,false
141,7/11/2017,747,762,103-12-7922,true
142,3/11/2018,448,778,308-10-9129,false
143,11/25/2017,113,508,373-72-8538,false
144,11/16/2017,372,382,706-75-6761,true
145,5/7/2018,803,799,331-95-4625,false
146,6/30/2017,569,56,880-32-9598,true
147,4/17/2018,95,617,245-50-9143,true
148,2/8/2018,212,990,570-67-5143,false
149,1/15/2018,847,650,283-16-6761,false
150,2/6/2018,790,805,256-77-2744,true
151,7/15/2017,403,137,871-16-0284,false
152,6/23/2018,932,103,226-68-1722,true
153,4/26/2018,888,104,644-89-2320,true
154,1/9/2018,956,74,374-31-4870,true
155,10/8/2017,397,862,116-55-3216,true
156,7/3/2017,922,396,349-11-0477,true
157,11/21/2017,647,778,475-89-0685,false
158,12/27/2017,907,740,132-46-9112,true
159,3/25/2018,725,970,241-54-4299,true
160,11/16/2017,992,311,708-04-1247,true
161,4/25/2018,146,927,855-29-1373,false
162,11/19/2017,935,779,881-78-2488,false
163,6/29/2017,995,615,278-67-0651,false
164,2/3/2018,769,153,242-10-3659,false
165,10/10/2017,128,224,853-58-4593,false
166,8/10/2017,445,781,564-64-1498,true
167,6/7/2018,679,86,647-93-7430,false
168,3/2/2018,421,903,755-69-9372,true
169,10/12/2017,640,529,286-06-5575,true
170,11/3/2017,818,668,571-44-7069,true
171,8/18/2017,257,8,892-53-6620,true
172,8/14/2017,277,415,802-28-0625,false
173,11/15/2017,593,795,122-14-4838,false
174,6/7/2018,629,618,150-80-8498,true
175,9/1/2017,435,840,457-34-6326,true
176,12/1/2017,230,755,539-66-9270,false
177,2/18/2018,130,443,440-63-3658,false
178,5/20/2018,972,811,698-34-0952,true
179,11/17/2017,430,888,337-03-5341,false
180,12/16/2017,660,170,367-47-3610,true
181,6/29/2017,802,117,441-37-5608,false
182,9/5/2017,308,41,358-58-7220,true
183,6/11/2018,546,869,525-47-1805,true
184,8/23/2017,790,620,151-78-5508,false
185,10/6/2017,520,643,633-16-4491,false
186,2/25/2018,908,198,746-08-4503,false
187,1/27/2018,675,637,615-74-9970,false
188,12/11/2017,53,796,742-03-4279,true
189,1/5/2018,97,344,521-28-0335,false
190,7/3/2017,430,472,472-81-2747,false
191,6/4/2018,748,925,723-89-3749,false
192,1/6/2018,457,243,255-55-9769,true
193,7/21/2017,321,921,754-52-5304,true
194,5/13/2018,19,811,136-07-8010,false
195,11/17/2017,302,8,696-26-0508,false
196,5/2/2018,277,240,216-32-6086,true
197,9/15/2017,613,543,406-82-6171,false
198,3/1/2018,864,176,894-29-4469,false
199,3/11/2018,155,368,442-39-6672,false
200,3/2/2018,634,494,166-39-4273,false
201,7/27/2017,410,148,823-24-9154,true
202,12/1/2017,244,452,481-13-8031,true
203,11/4/2017,10,588,873-58-3162,false
204,6/4/2018,36,369,435-64-2401,false
205,7/14/2017,93,409,286-67-2350,true
206,9/9/2017,327,370,872-31-0129,false
207,12/29/2017,718,589,851-71-5709,true
208,9/22/2017,316,283,327-73-1821,true
209,7/26/2017,836,210,108-69-2275,false
210,12/15/2017,895,432,379-25-4790,true
211,12/16/2017,100,659,777-72-1197,false
212,7/1/2017,714,804,749-72-5940,true
213,4/20/2018,182,850,635-16-0174,true
214,2/5/2018,170,518,403-72-0746,true
215,1/16/2018,185,828,247-49-0797,true
216,8/13/2017,78,669,399-55-5730,true
217,4/20/2018,671,201,488-03-8497,false
218,1/15/2018,741,992,101-76-0598,true
219,8/3/2017,230,800,289-12-5350,false
220,3/14/2018,456,20,140-94-5107,false
221,4/13/2018,28,712,649-17-5685,true
222,8/29/2017,196,890,220-05-9725,false
223,11/29/2017,9,468,800-72-6163,true
224,6/5/2018,159,588,203-15-8742,true
225,10/31/2017,651,28,195-11-0312,true
226,10/1/2017,267,2,837-10-2123,true
227,12/3/2017,68,103,451-42-9981,true
228,7/30/2017,682,519,822-96-0215,false
229,12/28/2017,341,597,693-82-2864,false
230,5/29/2018,190,866,830-21-2242,false
231,1/17/2018,717,971,369-39-7238,true
232,10/2/2017,890,669,422-81-1469,true
233,8/19/2017,846,813,108-52-2614,false
234,6/12/2018,584,970,505-81-8507,false
235,12/10/2017,782,840,820-02-8077,false
236,1/10/2018,554,853,465-33-5229,true
237,2/14/2018,568,598,149-36-3189,true
238,5/16/2018,325,803,414-12-9987,true
239,6/7/2018,415,551,722-08-3055,true
240,6/29/2017,845,766,578-35-6556,true
241,3/16/2018,517,993,401-37-8284,true
242,3/19/2018,592,953,816-26-0728,true
243,6/7/2018,754,966,236-23-6228,true
244,9/9/2017,29,821,355-87-9583,true
245,9/18/2017,136,885,819-78-9146,true
246,12/5/2017,33,397,565-08-5132,true
247,12/15/2017,607,651,423-25-9840,true
248,3/28/2018,33,411,889-94-6556,false
249,12/6/2017,702,381,676-13-9903,false
250,2/10/2018,255,784,557-40-8774,false
251,3/7/2018,486,786,888-70-0619,false
252,6/6/2018,199,721,741-41-2089,false
253,6/6/2018,339,57,238-11-7087,true
254,9/16/2017,623,804,185-84-6729,true
255,9/6/2017,604,330,265-17-1012,true
256,12/7/2017,249,100,394-35-0849,true
257,4/12/2018,566,64,498-31-5209,false
258,7/6/2017,471,90,446-03-3412,false
259,2/23/2018,633,308,598-54-2654,false
260,6/7/2018,366,425,700-31-4503,false
261,11/7/2017,209,276,112-24-4435,false
262,12/11/2017,348,457,173-45-9861,true
263,11/10/2017,323,379,445-75-3789,false
264,8/25/2017,406,916,115-17-8611,false
265,12/14/2017,463,32,126-44-6588,false
266,2/13/2018,438,664,294-88-4276,true
267,4/18/2018,45,24,441-42-9198,false
268,4/8/2018,565,558,443-02-9992,true
269,12/22/2017,954,206,268-49-4388,true
270,12/20/2017,385,425,228-89-4183,false
271,6/15/2018,312,297,375-71-2811,true
272,6/1/2018,763,237,651-64-5474,true
273,10/7/2017,537,424,122-60-8954,false
274,10/2/2017,525,213,448-17-0126,false
275,2/3/2018,63,313,742-04-0054,true
276,9/12/2017,58,622,202-34-4017,true
277,4/27/2018,570,286,860-50-4384,true
278,6/3/2018,860,19,759-79-6535,false
279,8/24/2017,721,348,687-09-3329,false
280,3/23/2018,953,457,676-31-8877,true
281,1/3/2018,18,667,873-47-5719,true
282,5/24/2018,716,967,346-05-6143,false
283,9/11/2017,880,962,368-03-8105,true
284,11/12/2017,432,597,250-46-5916,false
285,5/26/2018,423,326,195-84-3174,true
286,6/5/2018,768,596,817-05-4547,false
287,9/22/2017,336,917,250-67-4949,true
288,5/20/2018,720,856,250-39-1764,false
289,11/29/2017,147,84,542-40-5236,true
290,2/2/2018,804,331,855-84-3523,false
291,12/29/2017,168,463,704-20-8299,false
292,2/18/2018,348,892,151-78-6416,true
293,1/14/2018,473,370,418-03-3777,false
294,8/10/2017,449,315,344-10-9387,true
295,4/15/2018,868,937,190-19-6243,false
296,12/8/2017,304,211,784-47-4904,false
297,8/1/2017,969,977,376-08-5100,true
298,9/18/2017,288,173,782-83-9285,true
299,9/1/2017,775,544,759-49-9412,false
300,1/15/2018,985,865,336-69-9952,true
301,3/13/2018,30,777,309-40-0102,false
302,10/21/2017,464,684,707-56-2785,true
303,4/24/2018,47,593,661-48-1811,true
304,5/27/2018,746,37,215-40-3862,true
305,5/25/2018,65,324,523-05-1710,false
306,4/17/2018,357,917,667-98-7402,false
307,2/22/2018,435,29,335-26-5494,false
308,5/21/2018,305,700,152-26-0765,false
309,6/12/2018,716,454,591-70-0195,false
310,7/22/2017,953,476,892-61-0452,true
311,11/26/2017,725,1,723-25-9376,true
312,3/24/2018,868,59,193-84-4738,true
313,12/20/2017,486,348,822-60-7509,false
314,10/11/2017,319,383,451-89-2138,false
315,6/25/2017,126,129,384-48-5237,false
316,11/21/2017,142,733,664-80-0666,false
317,11/9/2017,854,23,606-83-4524,false
318,12/18/2017,576,12,102-23-2545,false
319,4/23/2018,431,336,449-47-2147,false
320,8/9/2017,21,882,194-48-5628,false
321,11/6/2017,984,225,226-50-6353,false
322,12/7/2017,809,406,748-10-4512,false
323,3/4/2018,68,331,806-98-1842,true
324,2/4/2018,173,520,806-09-3944,false
325,10/27/2017,37,137,833-89-2377,false
326,3/28/2018,778,671,610-44-4152,false
327,6/13/2018,176,263,125-48-2113,true
328,12/12/2017,837,1,251-29-1001,false
329,10/30/2017,631,504,633-02-4483,false
330,4/27/2018,125,228,870-97-1993,true
331,9/14/2017,446,818,553-79-6527,false
332,11/11/2017,236,825,803-64-3742,true
333,7/14/2017,688,519,156-28-9239,false
334,7/5/2017,482,516,712-49-3493,true
335,8/30/2017,664,429,651-85-7897,true
336,9/5/2017,493,43,313-30-8951,false
337,7/27/2017,100,430,855-95-9693,false
338,9/13/2017,95,503,172-19-0644,false
339,10/5/2017,857,797,807-87-0273,false
340,7/10/2017,515,371,445-23-3545,false
341,12/29/2017,338,90,184-71-2113,true
342,5/1/2018,225,421,682-43-1964,true
343,4/12/2018,184,839,827-86-7602,false
344,3/23/2018,627,785,678-58-9854,false
345,12/20/2017,458,175,335-83-3930,true
346,10/10/2017,207,663,865-04-8824,true
347,1/30/2018,914,307,107-37-0479,false
348,6/12/2018,827,423,209-45-4574,true
349,5/28/2018,762,675,815-13-2817,false
350,5/28/2018,424,900,683-73-7874,false
351,5/3/2018,260,121,778-29-7321,true
352,10/22/2017,728,55,273-23-0476,true
353,6/11/2018,291,825,467-71-4894,true
354,5/2/2018,884,501,817-06-4147,true
355,10/16/2017,490,166,817-94-8826,false
356,9/11/2017,345,256,753-19-0355,false
357,1/4/2018,515,711,451-32-9362,true
358,11/6/2017,754,156,798-72-9163,true
359,6/22/2018,228,26,256-20-7490,false
360,4/21/2018,975,117,692-19-0292,false
361,10/11/2017,378,575,373-20-3766,false
362,7/29/2017,207,799,315-32-9052,true
363,10/16/2017,20,68,118-44-5917,false
364,11/18/2017,751,247,416-88-8883,false
365,6/27/2017,750,793,143-24-8033,false
366,12/24/2017,323,827,889-84-0114,true
367,3/27/2018,63,648,267-43-8528,false
368,12/25/2017,531,285,273-32-8830,false
369,1/5/2018,598,688,336-42-5437,false
370,6/30/2017,153,6,319-48-8320,true
371,10/30/2017,155,620,793-38-3742,true
372,2/7/2018,777,636,244-77-5910,false
373,10/20/2017,900,801,349-31-3139,false
374,3/25/2018,331,429,697-68-4145,false
375,2/10/2018,580,515,559-90-9646,true
376,12/11/2017,110,160,397-44-1794,false
377,2/7/2018,791,851,236-47-1923,true
378,8/1/2017,346,119,748-68-8571,false
379,8/29/2017,722,903,142-09-9826,true
380,5/10/2018,459,540,810-74-0909,true
381,12/14/2017,986,671,401-83-3686,false
382,5/19/2018,949,296,427-93-5155,true
383,9/28/2017,125,521,697-69-6190,true
384,2/12/2018,45,693,398-26-8547,false
385,1/13/2018,234,34,423-43-6910,false
386,2/17/2018,865,2,805-49-1607,false
387,1/15/2018,999,588,198-11-1477,false
388,1/15/2018,68,773,346-14-3630,true
389,1/8/2018,483,764,515-97-7860,true
390,8/27/2017,722,11,652-03-5252,true
391,8/25/2017,870,952,871-44-1036,true
392,1/6/2018,427,624,609-84-4885,false
393,6/22/2018,376,475,522-66-9389,false
394,8/30/2017,407,50,203-29-8128,true
395,1/11/2018,797,94,617-77-9369,true
396,3/26/2018,679,362,538-05-9520,true
397,5/24/2018,845,824,109-23-0920,false
398,5/17/2018,9,807,434-31-0207,false
399,11/30/2017,543,684,529-96-9886,true
400,8/16/2017,880,725,816-53-9244,false
401,2/18/2018,710,420,832-59-5493,true
402,6/20/2018,244,44,601-97-9666,false
403,6/21/2018,989,862,553-14-2073,false
404,1/22/2018,960,189,125-84-5683,true
405,2/19/2018,517,334,538-23-3163,false
406,8/27/2017,236,204,533-24-5777,false
407,4/24/2018,698,178,258-10-6875,true
408,11/8/2017,325,709,265-04-2130,true
409,12/17/2017,828,691,351-16-8425,false
410,1/31/2018,58,12,232-65-1374,true
411,7/28/2017,67,500,332-51-5305,true
412,11/5/2017,645,342,740-13-2193,false
413,8/28/2017,802,217,829-34-6322,false
414,3/5/2018,411,314,452-98-6367,true
415,3/14/2018,650,285,606-39-4957,true
416,11/30/2017,25,421,272-68-5872,false
417,6/9/2018,297,407,513-32-8317,true
418,8/26/2017,56,115,885-84-5773,false
419,3/11/2018,943,281,803-34-9178,false
420,9/21/2017,414,261,818-98-8503,false
421,8/29/2017,971,488,119-69-7831,false
422,10/23/2017,536,954,701-45-2135,false
423,5/30/2018,233,637,684-65-8023,true
424,1/28/2018,979,779,769-01-3335,false
425,2/16/2018,94,671,607-72-4776,true
426,3/16/2018,418,308,827-25-7180,true
427,5/18/2018,17,142,593-65-4568,false
428,5/10/2018,745,784,688-88-7453,true
429,2/13/2018,530,313,596-71-9233,true
430,11/12/2017,902,777,705-72-2294,true
431,10/28/2017,103,552,568-53-7849,false
432,11/9/2017,636,342,801-52-9910,false
433,11/18/2017,652,891,831-27-9189,false
434,5/14/2018,698,916,693-68-2586,true
435,7/14/2017,166,419,165-64-7094,true
436,8/2/2017,996,952,230-76-4098,false
437,11/17/2017,910,850,610-04-7032,false
438,10/27/2017,965,83,587-79-9230,true
439,4/28/2018,811,690,825-42-0054,true
440,2/27/2018,78,384,170-74-8496,true
441,8/17/2017,345,445,312-48-8123,false
442,5/30/2018,49,415,661-08-7699,true
443,1/9/2018,487,121,751-56-5154,false
444,6/2/2018,709,808,276-34-8392,true
445,1/15/2018,662,156,849-23-5023,false
446,9/17/2017,27,879,745-41-7191,true
447,1/14/2018,342,614,738-18-0433,true
448,12/15/2017,632,653,622-18-4349,true
449,9/18/2017,803,413,731-61-4328,true
450,8/28/2017,272,977,861-54-8354,false
451,9/11/2017,106,555,851-90-2897,true
452,9/14/2017,588,107,299-22-9234,false
453,6/2/2018,931,991,166-51-8594,true
454,6/8/2018,354,303,441-69-5436,true
455,1/27/2018,924,438,510-76-0221,true
456,1/22/2018,380,834,865-88-7733,true
457,11/16/2017,739,666,317-43-5473,true
458,6/16/2018,946,115,480-53-8487,true
459,5/24/2018,827,77,525-54-4246,true
460,4/19/2018,738,336,226-77-1751,false
461,5/5/2018,571,917,699-05-5888,false
462,8/14/2017,833,706,701-90-8334,true
463,1/20/2018,454,94,498-97-3873,true
464,4/1/2018,818,213,166-56-5521,true
465,3/19/2018,182,309,223-76-6593,true
466,12/22/2017,472,450,398-56-2552,true
467,4/15/2018,374,936,131-94-6327,true
468,9/8/2017,153,995,706-20-1418,false
469,5/18/2018,978,855,476-27-2797,true
470,11/17/2017,784,158,829-66-5845,true
471,7/28/2017,313,938,162-82-0547,false
472,1/28/2018,541,499,653-68-0201,true
473,10/6/2017,663,138,568-78-5790,false
474,8/23/2017,351,287,833-49-6153,true
475,8/16/2017,682,258,620-34-5528,true
476,7/20/2017,672,484,860-86-0829,false
477,2/10/2018,645,895,607-82-7825,true
478,1/9/2018,1,23,657-10-7337,true
479,10/12/2017,113,362,333-40-1306,false
480,10/26/2017,771,488,609-62-1604,false
481,3/11/2018,155,937,715-33-9102,false
482,4/3/2018,1000,458,761-14-0598,true
483,9/2/2017,621,313,383-36-8746,false
484,12/24/2017,194,84,878-98-3930,true
485,5/3/2018,151,483,711-26-3134,true
486,9/24/2017,122,134,623-01-3543,false
487,8/22/2017,574,129,216-43-2011,false
488,9/11/2017,593,181,597-27-4602,false
489,11/2/2017,697,743,345-99-1465,true
490,1/23/2018,429,165,779-40-7724,false
491,4/7/2018,465,617,247-49-4416,true
492,4/15/2018,107,570,635-58-6399,true
493,6/4/2018,268,123,731-59-0486,false
494,11/16/2017,809,137,840-03-8026,true
495,4/26/2018,595,827,440-54-1454,false
496,6/2/2018,720,561,421-14-2018,true
497,4/4/2018,807,573,867-83-1280,false
498,1/31/2018,902,679,601-03-9807,true
499,9/9/2017,564,9,494-10-5109,false
500,5/27/2018,95,230,798-50-4660,false
501,10/9/2017,642,953,225-95-0598,false
502,6/14/2018,586,935,233-41-1775,false
503,8/28/2017,602,771,168-87-3238,false
504,2/15/2018,683,210,714-86-2829,true
505,10/4/2017,57,579,829-55-8653,false
506,11/22/2017,665,762,510-06-2895,true
507,11/3/2017,744,291,171-78-8470,false
508,2/5/2018,49,112,149-77-4457,true
509,11/12/2017,492,779,347-77-6728,false
510,5/16/2018,848,720,103-08-7438,false
511,11/25/2017,183,350,281-52-9064,true
512,9/30/2017,647,104,795-82-5836,true
513,4/8/2018,843,265,483-56-9858,true
514,10/8/2017,839,807,249-39-8755,true
515,8/15/2017,375,775,702-56-8196,false
516,7/6/2017,632,899,127-96-4088,false
517,2/4/2018,967,245,468-03-3972,false
518,5/27/2018,885,915,155-10-8462,true
519,1/27/2018,13,675,276-47-6631,false
520,6/19/2018,560,9,890-11-8940,true
521,3/22/2018,619,215,183-11-3377,true
522,12/29/2017,750,400,754-69-4235,false
523,11/11/2017,793,540,430-44-3766,true
524,4/3/2018,456,73,779-03-8436,false
525,7/21/2017,293,956,460-95-9571,true
526,7/24/2017,251,799,395-03-8171,false
527,8/25/2017,994,779,449-75-8597,false
528,3/31/2018,334,344,271-64-0564,false
529,4/2/2018,984,636,487-12-2089,true
530,6/19/2018,145,316,306-51-8703,true
531,10/13/2017,722,353,709-30-6959,false
532,7/28/2017,664,381,846-97-2014,true
533,12/9/2017,720,243,360-61-4350,false
534,11/5/2017,948,602,238-96-1527,false
535,11/13/2017,583,572,514-62-5994,false
536,5/22/2018,72,106,825-76-9097,true
537,10/26/2017,788,821,507-87-3232,true
538,2/22/2018,708,191,234-40-2141,false
539,8/2/2017,990,617,485-82-1934,true
540,6/13/2018,11,770,185-51-6790,true
541,9/18/2017,846,856,691-57-7351,true
542,8/9/2017,114,535,101-41-0764,false
543,7/14/2017,198,280,126-69-4710,false
544,12/27/2017,178,298,173-46-9396,false
545,12/4/2017,447,893,621-97-8837,true
546,2/27/2018,537,637,620-43-1258,true
547,8/12/2017,30,775,298-99-6046,true
548,3/29/2018,301,48,351-89-7262,false
549,10/14/2017,940,84,821-95-9912,false
550,1/31/2018,29,75,129-66-5482,false
551,11/5/2017,615,800,280-68-5204,true
552,8/19/2017,533,27,302-94-8070,false
553,2/23/2018,210,907,640-60-5170,true
554,11/8/2017,927,106,543-36-2838,false
555,8/3/2017,311,239,819-23-8109,false
556,1/9/2018,557,613,874-09-9300,false
557,3/21/2018,861,77,100-89-7468,false
558,1/29/2018,690,916,150-37-9746,true
559,8/8/2017,411,913,810-27-2638,false
560,3/1/2018,424,309,253-67-5666,true
561,11/14/2017,459,687,502-71-1446,true
562,7/29/2017,800,292,428-70-5395,true
563,5/4/2018,314,87,361-60-3898,false
564,7/24/2017,636,990,137-50-8008,false
565,4/16/2018,301,270,593-42-2389,true
566,3/11/2018,934,426,881-19-8389,false
567,12/29/2017,473,482,465-49-0499,true
568,7/13/2017,970,731,711-74-3658,false
569,9/11/2017,513,436,813-03-9479,false
570,3/5/2018,485,25,858-70-0101,false
571,6/3/2018,350,556,456-20-8799,true
572,1/22/2018,894,948,654-51-3884,true
573,4/10/2018,672,521,794-90-4267,true
574,2/25/2018,760,614,167-22-7157,false
575,7/17/2017,902,91,834-16-9558,true
576,6/27/2017,955,708,144-37-3299,false
577,9/27/2017,639,619,795-71-4412,true
578,5/13/2018,874,446,501-69-4471,false
579,11/26/2017,352,373,634-93-9847,false
580,12/2/2017,164,132,366-72-4766,false
581,5/11/2018,707,508,314-48-1402,false
582,12/23/2017,934,179,618-68-4502,false
583,8/2/2017,891,132,807-43-2099,true
584,9/18/2017,573,244,638-41-7959,true
585,2/14/2018,561,594,468-08-0832,false
586,10/28/2017,957,642,582-31-7353,true
587,3/14/2018,141,54,641-49-4603,true
588,7/16/2017,155,616,774-71-1798,true
589,4/10/2018,25,940,469-82-4084,true
590,11/26/2017,630,70,323-26-0486,true
591,4/3/2018,759,893,669-62-7862,false
592,1/25/2018,690,755,102-20-8348,true
593,11/25/2017,296,434,271-38-5556,false
594,11/10/2017,697,769,350-32-7682,false
595,12/30/2017,747,886,242-61-6717,false
596,10/8/2017,877,863,249-96-6985,true
597,5/21/2018,200,470,181-28-4013,false
598,9/2/2017,965,33,438-66-7522,false
599,3/29/2018,720,24,525-05-1887,true
600,9/12/2017,267,229,845-57-3506,true
601,8/1/2017,418,211,636-09-5215,true
602,1/19/2018,636,358,315-96-0746,true
603,3/25/2018,287,448,198-32-7045,true
604,8/18/2017,179,17,330-99-6679,false
605,5/7/2018,259,997,885-02-6560,false
606,11/23/2017,765,501,581-62-8357,true
607,8/11/2017,891,213,587-81-4060,true
608,5/23/2018,975,435,896-65-0314,false
609,11/12/2017,536,797,234-72-2679,true
610,4/16/2018,259,949,540-13-9463,true
611,11/13/2017,682,635,406-51-0311,false
612,5/28/2018,746,832,528-38-1800,true
613,4/14/2018,84,723,282-36-1189,false
614,7/6/2017,228,239,867-19-4438,true
615,7/30/2017,789,179,498-67-1645,true
616,6/5/2018,985,147,788-42-4059,true
617,9/29/2017,274,8,707-67-5387,true
618,4/17/2018,133,140,847-45-8211,true
619,1/16/2018,649,716,362-24-1473,false
620,4/8/2018,778,53,541-35-2473,false
621,11/19/2017,595,434,568-01-9433,false
622,11/26/2017,164,191,127-58-2541,true
623,8/18/2017,50,130,813-96-3955,false
624,10/17/2017,554,276,462-64-8190,true
625,6/29/2017,778,194,652-73-4777,true
626,10/16/2017,885,278,171-40-7927,false
627,11/14/2017,656,107,689-24-9578,false
628,4/30/2018,612,919,691-18-1805,true
629,4/24/2018,683,877,854-17-6974,true
630,6/19/2018,474,520,222-26-6933,false
631,8/19/2017,503,95,367-08-6202,false
632,12/21/2017,225,677,766-05-8224,true
633,11/27/2017,48,38,262-09-9473,false
634,1/27/2018,549,833,776-34-6069,true
